Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Alliant energy corp,LNT,"",44260.0,1886000.0,0.0154,0.0051,163,26028.0,142.759982,addition,0.0191436,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,"","",41.9279
Nutrien ltd,NTR,"",90844.0,1874000.0,0.0153,0.0205,164,-68637.0,-43.037729,reduction,0.0108127,Q2 2017,MATERIALS,"","",16.3
Restaurant brands international inc,QSR,"",30068.0,1854000.0,0.0152,0.021,165,-19113.0,-38.862569,reduction,0.0123280,Q2 2017,CONSUMER DISCRETIONARY,"","",62.54
Pembina pipeline corp,PBA,"",50741.0,1843000.0,0.0151,0.0198,166,-33416.0,-39.706739,reduction,0.0100877,Q2 2017,ENERGY,"","",33.12
Fortis inc,FTS,"",48988.0,1803000.0,0.0148,0.02,167,-34098.0,-41.039405,reduction,0.0265408,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,"","",35.15
Express scripts inc.,ESRX,"",23259.0,1736000.0,0.0142,0.2536,168,-573674.0,-96.103583,reduction,0.0041067,Q3 2012,HEALTH CARE,"","",67.992
Kinross gold corp. adr,KGC,"",397255.0,1718000.0,0.0141,0.0144,169,-110772.0,-21.804353,reduction,0.0318569,Q4 2012,MATERIALS,"","",3.8811
Red hat inc,RHT,"",14240.0,1710000.0,0.014,,170,14240.0,,new,0.0079870,Q3 2014,INFORMATION TECHNOLOGY,"","",120.1
Randgold resources ltd adr,GOLD,"",17207.0,1702000.0,0.0139,0.0116,171,-537.0,-3.026375,reduction,0.0182917,Q1 2013,MATERIALS,"","",73.7046
Amerisourcebergen corp (holding co),ABC,"",18399.0,1689000.0,0.0138,,172,18399.0,,new,0.0084206,Q4 2014,CONSUMER STAPLES,"","",91.82
Encana corp.,ECA,"",25065.8,1677000.0,0.0137,0.0162,173,-16177.2,-39.224111,reduction,0.0128792,Q1 2011,ENERGY,"","",8.8
Visa inc,V,"",14498.0,1653000.0,0.0135,,174,14498.0,,new,0.0007031,Q4 2017,FINANCE,"","",114.02
Facebook inc,FB,"",9264.0,1635000.0,0.0134,0.072,175,-53569.0,-85.256155,reduction,0.0003188,Q3 2014,COMMUNICATIONS,"","",170.87
Southern copper corp.,SCCO,"",33987.0,1613000.0,0.0132,0.011,176,-7388.0,-17.856193,reduction,0.0043966,Q1 2013,MATERIALS,"","",27.9866
United rentals  inc.,URI,"",9375.0,1612000.0,0.0132,0.0769,177,-73252.0,-88.65383,reduction,0.0111039,Q2 2013,INDUSTRIALS,"","",98.6322
Petrochina co ltd adr,PTR,"",23039.0,1611000.0,0.0132,0.0108,178,-2009.0,-8.0206,reduction,0.0012588,Q1 2013,ENERGY,"","",89.2501
Booking holdings inc. (priceline),BKNG,"",915.0,1590000.0,0.013,0.0167,179,-442.0,-32.57185,reduction,0.0018651,Q3 2017,CONSUMER DISCRETIONARY,"","",1830.82
Msci inc,MSCI,"",12130.0,1535000.0,0.0126,,180,12130.0,,new,0.0134673,Q4 2017,FINANCE,"","",126.54
Cimarex energy co.,XEC,"",11886.0,1450000.0,0.0119,0.0038,181,6926.0,139.637097,addition,0.0124774,Q2 2016,ENERGY,"","",114.4437
Marsh & mclennan companies  inc.,MMC,"",17633.0,1435000.0,0.0117,,182,17633.0,,new,0.0034550,Q3 2014,FINANCE,"","",81.39
Thomson reuters corp.,TRI,"",30911.0,1352000.0,0.0111,0.0162,183,-21752.0,-41.304141,reduction,0.0043441,Q2 2017,COMMUNICATIONS,"","",46.29
Pioneer natural resources co.,PXD,"",7407.0,1280000.0,0.0105,0.0088,184,-1469.0,-16.550248,reduction,0.0043527,Q1 2013,ENERGY,"","",149.4096
Anadarko petroleum corp.,APC,"",23525.0,1262000.0,0.0103,0.0089,185,-3587.0,-13.230304,reduction,0.0042995,Q1 2013,ENERGY,"","",80.8499
Oge energy corp. (oklahoma gas & electric),OGE,"",37000.0,1218000.0,0.01,,186,37000.0,,new,0.0185269,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,"","",32.91
Cenovus energy inc,CVE,"",131967.0,1209000.0,0.0099,0.0145,187,-84809.0,-39.122873,reduction,0.0107396,Q4 2010,ENERGY,"","",17.2119
Royal gold inc,RGLD,"",14132.0,1161000.0,0.0095,0.0085,188,-638.0,-4.319567,reduction,0.0215921,Q1 2013,MATERIALS,"","",57.4665
Apartment investment and management co,AIV,"",24133.0,1055000.0,0.0086,0.0041,189,10038.0,71.216744,addition,0.0153694,Q2 2017,REAL ESTATE,"","",43.2778
Intuit  inc.,INTU,"",6560.0,1035000.0,0.0085,,190,6560.0,,new,0.0025729,Q1 2015,INFORMATION TECHNOLOGY,"","",157.78
Gildan activewear inc,GIL,"",31509.0,1021000.0,0.0084,0.0105,191,-18836.0,-37.413844,reduction,0.0143601,Q2 2017,CONSUMER DISCRETIONARY,"","",30.73
Yamana gold inc.,AUY,"",319802.0,999000.0,0.0082,0.0062,192,-29489.0,-8.442531,reduction,0.0337166,Q4 2012,MATERIALS,"","",5.4843
Urban outfitters inc.,URBN,"",27934.0,979000.0,0.008,0.0303,193,-161019.0,-85.216429,reduction,0.0251024,Q3 2014,CONSUMER DISCRETIONARY,"","",23.0506
Shaw communications inc class b,SJR,"",42014.0,962000.0,0.0079,0.0119,194,-34943.0,-45.405876,reduction,0.0088179,Q2 2017,COMMUNICATIONS,"","",21.79
Concho resources inc,CXO,"",6368.0,957000.0,0.0078,0.0068,195,-1337.0,-17.352369,reduction,0.0042824,Q4 2013,ENERGY,"","",114.2494
Wynn resorts ltd,WYNN,"",5635.0,950000.0,0.0078,,196,5635.0,,new,0.0054826,Q4 2017,CONSUMER DISCRETIONARY,"","",168.59
Tiffany & co. (de),TIF,"",8997.0,935000.0,0.0077,0.0033,197,3639.0,67.917133,addition,0.0072259,Q3 2017,CONSUMER DISCRETIONARY,"","",96.7024
Fidelity national financial inc,FNF,"",22294.0,875000.0,0.0072,,198,22294.0,,new,0.0081618,Q4 2017,FINANCE,"","",39.24
Bausch health companies,BHC,"",41855.0,875000.0,0.0072,0.0067,199,-28414.0,-40.436039,reduction,0.0120069,Q2 2017,HEALTH CARE,"","",17.3
Franklin resources inc,BEN,"",20088.0,870000.0,0.0071,,200,20088.0,,new,0.0036411,Q4 2017,FINANCE,"","",43.33
Continental resources inc,CLR,"",16183.0,857000.0,0.007,0.005,201,-3212.0,-16.560969,reduction,0.0043131,Q1 2013,ENERGY,"","",47.7732
Blackberry ltd,BB,"",74136.0,831000.0,0.0068,0.0089,202,-44489.0,-37.503899,reduction,0.0138233,Q2 2017,INFORMATION TECHNOLOGY,"","",9.99
Hollyfrontier corp,HFC,"",16123.0,826000.0,0.0068,,203,16123.0,,new,0.0090952,Q4 2017,ENERGY,"","",51.22
Equinix inc,EQIX,"",1742.0,790000.0,0.0065,,204,1742.0,,new,0.0022268,Q4 2017,INFORMATION TECHNOLOGY,"","",453.22
Anglogold ashanti ltd ads,AU,"",73180.0,746000.0,0.0061,0.0048,205,-3834.0,-4.978316,reduction,0.0189910,Q1 2013,MATERIALS,"","",12.8634
Apache corp.,APA,"",16677.0,704000.0,0.0058,0.0059,206,-2521.0,-13.131576,reduction,0.0043779,Q1 2013,ENERGY,"","",72.7102
Atmos energy corp,ATO,"",8004.0,687000.0,0.0056,,207,8004.0,,new,0.0072134,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,"","",85.89
Mondelez international inc. (kraft foods),MDLZ,"",16028.0,686000.0,0.0056,,208,16028.0,,new,0.0010770,Q1 2016,CONSUMER STAPLES,"","",42.8
Intercontinental exchange inc,ICE,"",9608.0,678000.0,0.0056,0.009,209,-9873.0,-50.68015,reduction,0.0016423,Q3 2016,FINANCE,"","",62.7597
Delta air lines inc.,DAL,"",12061.0,675000.0,0.0055,0.0027,210,3581.0,42.228774,addition,0.0016917,Q2 2017,TRANSPORTS,"","",54.411
Cabot oil & gas corp.,COG,"",22451.0,642000.0,0.0053,0.0045,211,-2601.0,-10.382405,reduction,0.0048542,Q2 2013,ENERGY,"","",29.4312
Eqt corporation (equitable gas co.),EQT,"",20649.72,640000.0,0.0052,0.004,212,3674.0,21.642676,addition,0.0042528,Q2 2013,UTILITIES AND TELECOMMUNICATIONS,"","",83.025
Hess corp,HES,"",13456.0,639000.0,0.0052,0.0051,213,-2901.0,-17.735526,reduction,0.0042348,Q1 2013,ENERGY,"","",66.8914
Gold fields ltd adr,GFI,"",148479.0,638000.0,0.0052,0.0045,214,-6070.0,-3.927557,reduction,0.0180735,Q1 2013,MATERIALS,"","",4.0635
Marathon oil corp. (1901) (old u.s. steel),MRO,"",37247.0,631000.0,0.0052,0.0039,215,-5325.0,-12.508221,reduction,0.0043838,Q1 2013,ENERGY,"","",26.4229
Noble energy inc,NBL,"",21404.0,624000.0,0.0051,0.0049,216,-4259.0,-16.595877,reduction,0.0043986,Q1 2013,ENERGY,"","",54.2887
Nordstrom inc.,JWN,"",13089.0,620000.0,0.0051,,217,13089.0,,new,0.0078736,Q2 2017,CONSUMER DISCRETIONARY,"","",47.38
Hershey company (the),HSY,"",5180.0,588000.0,0.0048,,218,5180.0,,new,0.0024566,Q4 2017,CONSUMER STAPLES,"","",113.51
Splunk inc,SPLK,"",7104.0,588000.0,0.0048,0.0183,219,-33859.0,-82.65752,reduction,0.0051352,Q3 2017,INFORMATION TECHNOLOGY,"","",66.43
Equity residential,EQR,"",8991.0,573000.0,0.0047,0.0014,220,5898.0,190.688652,addition,0.0024466,Q3 2017,REAL ESTATE,"","",64.5131
Kirkland lake gold ltd,KL,"",36909.0,568000.0,0.0047,0.0035,221,-3126.0,-7.808168,reduction,No Data,Q3 2017,MATERIALS,"","",12.92
B2gold corp,BTG,"",178166.0,552000.0,0.0045,0.0035,222,-9022.0,-4.819753,reduction,0.0521153,Q2 2016,MATERIALS,"","",2.5175
Crescent point energy corp,CPG,"",70725.0,541000.0,0.0044,0.0062,223,-45370.0,-39.080064,reduction,0.0129583,Q1 2014,ENERGY,"","",26.1752
Teva pharmaceutical industries ltd  adr,TEVA,"",27700.0,525000.0,0.0043,0.0033,224,0.0,0.0,,0.0027240,Q4 2015,HEALTH CARE,"","",61.866
Flextronics international inc.,FLEX,"",29020.0,522000.0,0.0043,,225,29020.0,,new,0.0054996,Q4 2017,INFORMATION TECHNOLOGY,"","",17.99
Alphabet inc. class a,GOOGL,"",470.0,495000.0,0.0041,,226,470.0,,new,0.0000676,Q3 2014,COMMUNICATIONS,"","",1053.4
Sibanye-stillwater limited ads adr,SBGL,"",93077.0,470000.0,0.0038,0.003,227,-10529.5,-10.162972,reduction,0.0392896,Q2 2016,MATERIALS,"","",12.4
Tesla inc,TSLA,"",1507.0,469000.0,0.0038,0.0034,228,0.0,0.0,,0.0008924,Q3 2017,CONSUMER DISCRETIONARY,"","",341.1
Moodys corp,MCO,"",2785.0,411000.0,0.0034,0.0071,229,-4864.0,-63.590012,reduction,0.0014574,Q4 2016,FINANCE,"","",101.2577
Eldorado gold corp,EGO,"",56506.2,410000.0,0.0034,0.0044,230,-3159.4,-5.295178,reduction,0.0355828,Q4 2012,MATERIALS,"","",5.3296
Pretium resources inc,PVG,"",32500.0,371000.0,0.003,0.0021,231,-1807.0,-5.267147,reduction,0.0178581,Q2 2017,MATERIALS,"","",9.61
Cme group inc,CME,"",2353.0,344000.0,0.0028,0.0079,232,-6363.0,-73.003671,reduction,0.0006936,Q3 2016,FINANCE,"","",115.7322
Prudential financial inc.,PRU,"",2991.0,344000.0,0.0028,0.0029,233,-1038.0,-25.763217,reduction,0.0007054,Q2 2017,FINANCE,"","",108.14
New gold inc. adr,NGD,"",103468.0,341000.0,0.0028,0.0026,234,-2700.0,-2.543139,reduction,0.0179069,Q1 2013,MATERIALS,"","",4.9144
Turquoise hill resources ltd,TRQ,"",87852.0,301000.0,0.0025,0.0023,235,-21180.0,-19.42549,reduction,0.0043657,Q1 2013,MATERIALS,"","",3.3732
Discover financial services,DFS,"",3802.0,292000.0,0.0024,0.0093,236,-17734.0,-82.34584,reduction,0.0010463,Q1 2017,FINANCE,"","",63.7757
Tahoe resources inc,TAHO,"",58154.0,280000.0,0.0023,0.0024,237,-9388.0,-13.8995,reduction,0.0185926,Q2 2016,MATERIALS,"","",13.1643
Charles schwab corp,SCHW,"",5340.0,274000.0,0.0022,0.0057,238,-14182.0,-72.646245,reduction,0.0003983,Q3 2016,FINANCE,"","",43.74
Servicenow inc,NOW,"",2063.0,269000.0,0.0022,,239,2063.0,,new,0.0011946,Q4 2017,INFORMATION TECHNOLOGY,"","",130.39
Lincoln national corp.,LNC,"",3384.0,260000.0,0.0021,0.0015,240,421.0,14.208572,addition,0.0015464,Q1 2017,FINANCE,"","",67.6164
Cheesecake factory  inc. (the),CAKE,"",4603.0,222000.0,0.0018,,241,4603.0,,new,0.0100524,Q2 2017,CONSUMER DISCRETIONARY,"","",48.18
Praxair  inc.,PX,"",1425.0,220000.0,0.0018,0.0062,242,-5212.0,-78.529456,reduction,0.0004977,Q1 2017,MATERIALS,"","",139.74
T-mobile us inc,TMUS,"",3337.0,212000.0,0.0017,,243,3337.0,,new,0.0004011,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,"","",63.51
Cintas corporation,CTAS,"",1341.0,209000.0,0.0017,,244,1341.0,,new,0.0012595,Q2 2016,INDUSTRIALS,"","",155.83
Cameco corp.,CCJ,"",16767.0,155000.0,0.0013,0.0014,245,-4665.0,-21.766517,reduction,0.0042363,Q1 2013,ENERGY,"","",17.132
Cbl & associates properties  inc.,CBL,"",10063.0,57000.0,0.0005,,246,10063.0,,new,0.0058814,Q2 2017,REAL ESTATE,"","",5.66
Lyondellbasell industries nv,LYB,"",0.0,0.0,,0.0074,"",-11163.0,-100.0,soldall,0.0000000,Q2 2014,MATERIALS,"","",80.0489
Pultegroup inc,PHM,"",0.0,0.0,,0.0259,"",-141495.0,-100.0,soldall,0.0000000,Q3 2017,CONSUMER DISCRETIONARY,"","",27.33
Waste management  inc.,WM,"",0.0,0.0,,0.0249,"",-47450.0,-100.0,soldall,0.0000000,Q1 2014,INDUSTRIALS,"","",69.4574
Progressive corp.,PGR,"",0.0,0.0,,0.0091,"",-28131.0,-100.0,soldall,0.0000000,Q4 2016,FINANCE,"","",48.42
Ingredion inc.,INGR,"",0.0,0.0,,0.0039,"",-4830.0,-100.0,soldall,0.0000000,Q3 2017,MATERIALS,"","",120.64
Eversource energy (western massachusetts cos./northeast utilities),ES,"",0.0,0.0,,0.006,"",-14772.0,-100.0,soldall,0.0000000,Q3 2017,UTILITIES AND TELECOMMUNICATIONS,"","",60.44
Nuance communications  inc.,NUAN,"",0.0,0.0,,0.0012,"",-13608.21,-100.0,soldall,0.0000000,Q2 2017,INFORMATION TECHNOLOGY,"","",17.41
Aptargroup  inc.,ATR,"",0.0,0.0,,0.0014,"",-2490.0,-100.0,soldall,0.0000000,Q4 2016,MATERIALS,"","",86.86
Total system services inc,TSS,"",0.0,0.0,,0.0133,"",-30211.0,-100.0,soldall,0.0000000,Q1 2017,FINANCE,"","",63.2172
Becton  dickinson and co.,BDX,"",0.0,0.0,,0.0253,"",-19207.0,-100.0,soldall,0.0000000,Q3 2014,HEALTH CARE,"","",195.95
Gap (the),GPS,"",0.0,0.0,,0.0033,"",-16827.0,-100.0,soldall,0.0000000,Q4 2012,CONSUMER DISCRETIONARY,"","",21.7187
Smucker (j.m.) co.,SJM,"",0.0,0.0,,0.0015,"",-2114.0,-100.0,soldall,0.0000000,Q3 2016,CONSUMER STAPLES,"","",104.93
L brands inc,LB,"",0.0,0.0,,0.0418,"",-149677.0,-100.0,soldall,0.0000000,Q3 2016,CONSUMER DISCRETIONARY,"","",56.203
Core laboratories n.v.,CLB,"",0.0,0.0,,0.0029,"",-4417.0,-100.0,soldall,0.0000000,Q3 2017,ENERGY,"","",98.7
Ameren corporation,AEE,"",0.0,0.0,,0.005,"",-12791.0,-100.0,soldall,0.0000000,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,"","",55.6343
Consolidated edison co. of new york inc. (consolidated gas co. of new york),ED,"",0.0,0.0,,0.0062,"",-11419.0,-100.0,soldall,0.0000000,Q3 2017,UTILITIES AND TELECOMMUNICATIONS,"","",80.68
Abbott laboratories,ABT,"",0.0,0.0,,0.0027,"",-7623.0,-100.0,soldall,0.0000000,Q3 2017,HEALTH CARE,"","",53.36
Equifax inc.,EFX,"",0.0,0.0,,0.0386,"",-54250.0,-100.0,soldall,0.0000000,Q2 2017,INDUSTRIALS,"","",107.0531
Healthpk propr,PEAK,"",0.0,0.0,,0.0219,"",-117340.0,-100.0,soldall,0.0000000,Q3 2017,REAL ESTATE,"","",27.83
Emerson electric co.,EMR,"",0.0,0.0,,0.0068,"",-16170.0,-100.0,soldall,0.0000000,Q1 2014,INDUSTRIALS,"","",62.84
Kansas city southern industries inc.,KSU,"",0.0,0.0,,0.0605,"",-82975.0,-100.0,soldall,0.0000000,Q1 2016,TRANSPORTS,"","",108.68
Lam research corp.,LRCX,"",0.0,0.0,,0.046,"",-37083.0,-100.0,soldall,0.0000000,Q3 2017,INFORMATION TECHNOLOGY,"","",185.04
Intel corp.,INTC,"",0.0,0.0,,0.0897,"",-351286.0,-100.0,soldall,0.0000000,Q4 2012,INFORMATION TECHNOLOGY,"","",33.4749
Simon property group  inc.,SPG,"",0.0,0.0,,0.0117,"",-10872.0,-100.0,soldall,0.0000000,Q4 2016,REAL ESTATE,"","",177.67
Biotechne corp,TECH,"",0.0,0.0,,0.0016,"",-1955.0,-100.0,soldall,0.0000000,Q2 2017,HEALTH CARE,"","",117.5
Davita healthcare partners inc,DVA,"",0.0,0.0,,0.1412,"",-354456.0,-100.0,soldall,0.0000000,Q3 2012,HEALTH CARE,"","",61.5657
Varian medical systems  inc.,VAR,"",0.0,0.0,,0.0086,"",-12779.0,-100.0,soldall,0.0000000,Q2 2017,HEALTH CARE,"","",103.19
Northern trust corp.,NTRS,"",0.0,0.0,,0.0023,"",-3662.0,-100.0,soldall,0.0000000,Q3 2017,FINANCE,"","",91.93
Aetna inc.,AET,"",0.0,0.0,,0.0127,"",-11904.0,-100.0,soldall,0.0000000,Q4 2016,HEALTH CARE,"","",159.01
Regeneron pharmaceuticals inc.,REGN,"",0.0,0.0,,0.0771,"",-25700.0,-100.0,soldall,0.0000000,Q3 2017,HEALTH CARE,"","",447.12
Illumina inc,ILMN,"",0.0,0.0,,0.0842,"",-63012.0,-100.0,soldall,0.0000000,Q1 2017,HEALTH CARE,"","",190.7139
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",0.0,0.0,,0.0218,"",-22896.0,-100.0,soldall,0.0000000,Q1 2017,INDUSTRIALS,"","",133.7248
Aptiv plc,APTV,"",0.0,0.0,,0.0059,"",-10738.19,-100.0,soldall,0.0000000,Q3 2017,INDUSTRIALS,"","",82.4811
Ppg industries  inc. (pittsburgh plate glass),PPG,"",0.0,0.0,,0.0092,"",-12663.0,-100.0,soldall,0.0000000,Q3 2017,MATERIALS,"","",108.66
Kohls corp.,KSS,"",0.0,0.0,,0.0738,"",-241039.0,-100.0,soldall,0.0000000,Q2 2014,CONSUMER DISCRETIONARY,"","",39.434
Union pacific corp.,UNP,"",0.0,0.0,,0.0158,"",-20321.0,-100.0,soldall,0.0000000,Q2 2017,TRANSPORTS,"","",110.75
Anthem inc,ANTM,"",0.0,0.0,,0.0079,"",-6199.0,-100.0,soldall,0.0000000,Q3 2017,HEALTH CARE,"","",189.88
Federal realty investment trust,FRT,"",0.0,0.0,,0.0045,"",-5445.0,-100.0,soldall,0.0000000,Q3 2017,REAL ESTATE,"","",124.21
Kroger co.,KR,"",0.0,0.0,,0.2838,"",-2108925.0,-100.0,soldall,0.0000000,Q4 2015,CONSUMER STAPLES,"","",20.9899
Idexx laboratories inc.,IDXX,"",0.0,0.0,,0.0018,"",-1743.0,-100.0,soldall,0.0000000,Q3 2017,HEALTH CARE,"","",155.49
Aes corp. (the),AES,"",0.0,0.0,,0.0023,"",-31128.0,-100.0,soldall,0.0000000,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,"","",11.11
Electronic arts  inc.,EA,"",0.0,0.0,,0.0483,"",-60956.0,-100.0,soldall,0.0000000,Q3 2014,INFORMATION TECHNOLOGY,"","",111.2549
Comerica  inc. (detroit  mi) (detroit bank & trust),CMA,"",0.0,0.0,,0.0024,"",-4746.0,-100.0,soldall,0.0000000,Q4 2016,FINANCE,"","",76.26
Ansys  inc.,ANSS,"",0.0,0.0,,0.0021,"",-2569.0,-100.0,soldall,0.0000000,Q1 2014,INFORMATION TECHNOLOGY,"","",121.68
Toll brothers  inc.,TOL,"",0.0,0.0,,0.0389,"",-139790.0,-100.0,soldall,0.0000000,Q2 2017,CONSUMER DISCRETIONARY,"","",40.4551
Texas instruments  inc.,TXN,"",0.0,0.0,,0.0784,"",-130318.0,-100.0,soldall,0.0000000,Q4 2012,INFORMATION TECHNOLOGY,"","",84.6863
Biogen inc,BIIB,"",0.0,0.0,,0.0928,"",-44198.0,-100.0,soldall,0.0000000,Q3 2014,HEALTH CARE,"","",273.42
Dte energy co. (detroit edison),DTE,"",0.0,0.0,,0.0078,"",-10788.0,-100.0,soldall,0.0000000,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,"","",106.3948
Boston properties  inc.,BXP,"",0.0,0.0,,0.0015,"",-1860.0,-100.0,soldall,0.0000000,Q2 2017,REAL ESTATE,"","",123.02
Molson coors brewing co,TAP,"",0.0,0.0,,0.0089,"",-16261.0,-100.0,soldall,0.0000000,Q3 2017,CONSUMER STAPLES,"","",81.64
Kimco realty corp.,KIM,"",0.0,0.0,,0.0022,"",-16874.0,-100.0,soldall,0.0000000,Q3 2017,REAL ESTATE,"","",19.55
General growth properties inc. (de),GGP,"",0.0,0.0,,0.0044,"",-31656.0,-100.0,soldall,0.0000000,Q3 2015,REAL ESTATE,"","",20.77
S&p global inc. (mcgraw-hill inc.),SPGI,"",0.0,0.0,,0.0774,"",-73830.0,-100.0,soldall,0.0000000,Q2 2016,COMMUNICATIONS,"","",147.9654
Borg warner inc,BWA,"",0.0,0.0,,0.1232,"",-358448.0,-100.0,soldall,0.0000000,Q4 2015,CONSUMER DISCRETIONARY,"","",44.2664
Masco corp.,MAS,"",0.0,0.0,,0.0653,"",-249478.0,-100.0,soldall,0.0000000,Q1 2014,INDUSTRIALS,"","",33.5468
United technologies corp. (united aircraft corp.),UTX,"",0.0,0.0,,0.014,"",-18028.0,-100.0,soldall,0.0000000,Q2 2017,INDUSTRIALS,"","",122.11
Owens-il inc,OI,"",0.0,0.0,,0.0014,"",-8266.0,-100.0,soldall,0.0000000,Q2 2015,MATERIALS,"","",23.92
Charles river laboratories international inc,CRL,"",0.0,0.0,,0.0019,"",-2574.0,-100.0,soldall,0.0000000,Q2 2017,HEALTH CARE,"","",101.15
Hanesbrands  inc.,HBI,"",0.0,0.0,,0.004,"",-24463.0,-100.0,soldall,0.0000000,Q3 2017,CONSUMER DISCRETIONARY,"","",24.64
Capital one financial corp,COF,"",0.0,0.0,,0.0072,"",-12617.0,-100.0,soldall,0.0000000,Q2 2016,FINANCE,"","",86.66
Home depot  inc. (the),HD,"",0.0,0.0,,0.0029,"",-2597.0,-100.0,soldall,0.0000000,Q3 2017,CONSUMER DISCRETIONARY,"","",163.56
Philip morris international inc,PM,"",0.0,0.0,,0.0111,"",-14901.0,-100.0,soldall,0.0000000,Q3 2017,CONSUMER STAPLES,"","",111.01
Pinnacle west capital corp,PNW,"",0.0,0.0,,0.0103,"",-18171.0,-100.0,soldall,0.0000000,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,"","",84.7769
Motorola solutions inc,MSI,"",0.0,0.0,,0.0523,"",-91922.0,-100.0,soldall,0.0000000,Q1 2016,INFORMATION TECHNOLOGY,"","",86.0664
V.f. corp. (vanity fair mills inc.),VFC,"",0.0,0.0,,0.0347,"",-86378.83,-100.0,soldall,0.0000000,Q3 2017,CONSUMER DISCRETIONARY,"","",63.57
Laboratory corp of america holdings,LH,"",0.0,0.0,,0.0432,"",-42662.0,-100.0,soldall,0.0000000,Q3 2017,HEALTH CARE,"","",150.97
Westrock co,WRK,"",0.0,0.0,,0.004,"",-10396.0,-100.0,soldall,0.0000000,Q3 2017,MATERIALS,"","",56.73
Nike inc.,NKE,"",0.0,0.0,,0.0156,"",-44766.0,-100.0,soldall,0.0000000,Q3 2017,CONSUMER DISCRETIONARY,"","",51.85
Netapp inc.,NTAP,"",0.0,0.0,,0.0804,"",-274012.0,-100.0,soldall,0.0000000,Q3 2012,INFORMATION TECHNOLOGY,"","",40.0007
Mastercard inc,MA,"",0.0,0.0,,0.0518,"",-54677.0,-100.0,soldall,0.0000000,Q3 2017,FINANCE,"","",141.2
Cms energy corp. (consumers power co.),CMS,"",0.0,0.0,,0.0079,"",-25542.0,-100.0,soldall,0.0000000,Q3 2017,UTILITIES AND TELECOMMUNICATIONS,"","",46.32
Danaher corp.,DHR,"",0.0,0.0,,0.0108,"",-18745.0,-100.0,soldall,0.0000000,Q1 2014,HEALTH CARE,"","",85.78
Jabil inc,JBL,"",0.0,0.0,,0.0264,"",-137728.0,-100.0,soldall,0.0000000,Q2 2017,INFORMATION TECHNOLOGY,"","",28.5849
Campbell soup co.,CPB,"",0.0,0.0,,0.033,"",-105111.0,-100.0,soldall,0.0000000,Q4 2014,CONSUMER STAPLES,"","",52.1716
Viacom inc.  class b,VIAB,"",0.0,0.0,,0.0853,"",-456647.0,-100.0,soldall,0.0000000,Q3 2017,COMMUNICATIONS,"","",27.84
Unitedhealth group inc.,UNH,"",0.0,0.0,,0.0059,"",-4492.0,-100.0,soldall,0.0000000,Q1 2014,HEALTH CARE,"","",160.04
Cummins inc,CMI,"",0.0,0.0,,0.0303,"",-26924.0,-100.0,soldall,0.0000000,Q3 2017,INDUSTRIALS,"","",168.03
Site centers corp. (developers diversified realty - ddr corp.),SITC,"",0.0,0.0,,0.0083,"",-82057.36,-100.0,soldall,0.0000000,Q3 2016,REAL ESTATE,"","",15.1107
Deere & co.,DE,"",0.0,0.0,,0.027,"",-32041.0,-100.0,soldall,0.0000000,Q1 2017,INDUSTRIALS,"","",110.2969
Tyson foods  inc.,TSN,"",0.0,0.0,,0.083,"",-175685.0,-100.0,soldall,0.0000000,Q2 2016,CONSUMER STAPLES,"","",64.2279
Centurylink inc,CTL,"",0.0,0.0,,0.0131,"",-103619.0,-100.0,soldall,0.0000000,Q1 2015,UTILITIES AND TELECOMMUNICATIONS,"","",18.9
Hartford financial services group,HIG,"",0.0,0.0,,0.0079,"",-21211.0,-100.0,soldall,0.0000000,Q3 2017,FINANCE,"","",55.43
Nvidia corp.,NVDA,"",0.0,0.0,,0.032,"",-26708.0,-100.0,soldall,0.0000000,Q3 2017,INFORMATION TECHNOLOGY,"","",178.77
Mohawk industries inc.,MHK,"",0.0,0.0,,0.0184,"",-11068.0,-100.0,soldall,0.0000000,Q3 2017,CONSUMER DISCRETIONARY,"","",247.51
Cooper companies (the),COO,"",0.0,0.0,,0.0036,"",-2293.0,-100.0,soldall,0.0000000,Q3 2017,HEALTH CARE,"","",237.11
Essex property trust  inc.,ESS,"",0.0,0.0,,0.0096,"",-5647.0,-100.0,soldall,0.0000000,Q3 2017,REAL ESTATE,"","",254.03
Activision blizzard inc,ATVI,"",0.0,0.0,,0.0488,"",-112799.0,-100.0,soldall,0.0000000,Q3 2017,INFORMATION TECHNOLOGY,"","",64.51
Waters corporation,WAT,"",0.0,0.0,,0.0112,"",-9297.0,-100.0,soldall,0.0000000,Q3 2017,HEALTH CARE,"","",179.52
